순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,NC,144,83,55,6,0.601,0,4승2무4패,1패,45-3-24,38-3-31
2,두산,144,79,61,4,0.564,5,6승0무4패,4승,41-2-29,38-2-32
3,KT,144,81,62,1,0.566,4.5,7승0무3패,1패,44-0-28,37-1-34
4,LG,144,79,61,4,0.564,5,5승1무4패,2패,39-3-30,40-1-31
5,키움,144,80,63,1,0.559,5.5,6승0무4패,1패,41-1-30,39-0-33
6,KIA,144,73,71,0,0.507,13,4승0무6패,1승,37-0-35,36-0-36
7,롯데,144,71,72,1,0.497,14.5,3승0무7패,1승,41-0-31,30-1-41
8,삼성,144,64,75,5,0.460,19.5,6승2무2패,1승,33-2-37,31-3-38
9,SK,144,51,92,1,0.357,34.5,5승0무5패,1승,28-0-44,23-1-48
10,한화,144,46,95,3,0.326,38.5,3승1무6패,1승,25-2-45,21-1-50
